Section,Field Name,Character Limit,Content Type,SEO Importance,Instructions,Example
--- BLOG INDEX PAGE ---,,,,,,
META,Page Title,60,Text,Critical,"Format: Travel Blog — Tips Guides & Inspiration {Year} | Book The Guide",Travel Blog — Tips Guides & Inspiration 2026 | Book The Guide
META,Meta Description,155,Text,Critical,"Include blog purpose + content types + brand name","Explore travel tips, destination guides, packing lists & insider stories from Book The Guide. Plan your next adventure with expert advice."
META,Keywords,200,Comma-separated,High,"Include: travel blog india, travel tips, travel guides, destination guides","travel blog india, travel tips, travel guides, destination guides, packing tips"
META,Canonical URL,-,URL,Critical,Blog index URL,https://www.booktheguide.com/blog
HERO,H1 Heading,50,Text,Critical,Blog index heading,Travel Blog
HERO,Tagline,120,Text,Medium,What readers will find,"Expert travel tips, destination guides, and insider stories to help you plan your next adventure."
HERO,Featured Post,-,Blog card (large),High,Latest or editor's pick blog post — full-width card,Featured blog post
CATEGORIES,Filter Tags,6-10,Tags,Medium,"Clickable filter tags for blog categories","All, Destinations, Trekking, Heritage, Tips, Packing, Food, Budget"
LISTING,Blog Card: Title,80,Text,Critical,Blog post headline,10 Must-Do Treks in Uttarakhand for 2026
LISTING,Blog Card: Excerpt,160,Text,High,First 1-2 sentences or custom excerpt,"From easy day hikes to challenging high-altitude treks, here are the 10 best treks in Uttarakhand..."
LISTING,Blog Card: Thumbnail,-,Image URL,High,16:9 landscape thumbnail. Relevant to article topic.,Blog thumbnail image
LISTING,Blog Card: Author,40,Text,Medium,Author name,BTG Editorial Team
LISTING,Blog Card: Date,20,Date,Medium,Published date,15 Mar 2026
LISTING,Blog Card: Read Time,10,Text,Low,"Format: X min read",8 min read
LISTING,Blog Card: Category Tag,20,Text,Medium,Primary category,Destinations
NEWSLETTER,Section H2,40,Text,Low,Newsletter CTA heading,Stay Updated
NEWSLETTER,Subtitle,120,Text,Low,What subscribers get,"Get weekly travel tips, new destination guides, and exclusive offers straight to your inbox."
NEWSLETTER,CTA Button,20,Text,Low,Subscribe action,Subscribe
,,,,,,
--- BLOG ARTICLE PAGE ---,,,,,,
META,Page Title,60,Text,Critical,"Format: {Article Title} | Book The Guide Blog",10 Must-Do Treks in Uttarakhand for 2026 | Book The Guide Blog
