Section,Field Name,Character Limit,Content Type,SEO Importance,Instructions,Example (Uttarakhand)
META,Page Title,60,Text,Critical,"Format: Explore {State} 2026 — Best Guides Treks Heritage Walks & Group Trips | Book The Guide",Explore Uttarakhand 2026 — Best Guides Treks Heritage Walks & Group Trips | Book The Guide
META,Meta Description,155,Text,Critical,"Include state name + key activities + trust signals (✓ Verified ✓ Reviewed ✓ Instant Booking)","Discover Uttarakhand with verified local guides. Treks, heritage walks, group trips & adventure guides. ✓ Verified ✓ Reviewed ✓ Instant Booking"
META,Keywords,200,Comma-separated,High,"Include: {state} tours, {state} guides, {state} treks, travel {state}, best time to visit {state}","Uttarakhand tours, Uttarakhand guides, Uttarakhand treks, travel Uttarakhand, best time to visit Uttarakhand"
META,Canonical URL,-,URL,Critical,Format: https://www.booktheguide.com/explore/{state-slug},https://www.booktheguide.com/explore/uttarakhand
META,OG Image,1200x630,Image URL,High,Hero image or state-specific banner image,/images/btg/optimized/frame-7.webp
HERO,Hero Image,-,Image URL,Medium,16:9 landscape. High-res state landscape photo. Min 1920x1080,/images/btg/optimized/frame-7.webp
HERO,Region Label,30,Text,Low,"Format: {North India/South India/East India/West India} · {State Code}",North India · UK
HERO,H1 Heading,40,Text,Critical,"Format: Explore {State Name}",Explore Uttarakhand
HERO,Tagline,80,Text,Medium,State tagline — evocative and concise,Land of the Gods — Where the Himalayas Begin
HERO,Best Time Badge,30,Text,Medium,Format: Month – Month,March – June | September – November
HERO,Cities Count Badge,10,Number,Low,Count of popular cities in the state,5+ Cities
ABOUT,H2 Section Title,60,Text,High,"Format: About {State Name}",About Uttarakhand
ABOUT,Description,400,Text,Critical,"2-3 paragraphs. Mention key attractions + activities + geography. Keywords-rich.","Uttarakhand is the spiritual heartland of India and a trekker's paradise. From the Valley of Flowers to Kedarnath..."
ABOUT,Top Highlights,5-8 items,Pill tags,Medium,"Key attractions/activities as pill tags","Valley of Flowers, Kedarnath Trek, Rishikesh Rafting, Chopta Tungnath, Jim Corbett"
SIDEBAR,Best Time to Visit,40,Text,High,Season range with months,March – June | September – November
SIDEBAR,Popular Cities,5-8 items,Comma list,High,Cities where BTG operates,"Rishikesh, Mussoorie, Nainital, Haridwar, Auli"
SIDEBAR,Available Count,30,Text,Medium,"Format: {X} Experiences · {Y} Guides",12 Experiences · 6 Guides
CATEGORIES,Section H2,60,Text,High,"Format: Experiences in {State Name}",Experiences in Uttarakhand
CATEGORIES,Section Subtitle,100,Text,Low,Guide user to pick a category,Choose a category to find the perfect guide or trip.
DESTINATIONS,Section H2,60,Text,High,"Format: Top Destinations in {State Name}",Top Destinations in Uttarakhand
DESTINATIONS,Destination Cards,8 max,Card data,Medium,Each card: Name + product count,Rishikesh (15 experiences)
EXPERIENCES,Section H2,60,Text,High,Format: Popular Experiences,Popular Experiences
EXPERIENCES,Section Subtitle,100,Text,Low,Social proof text,"Top-rated trips and guides in Uttarakhand."
GUIDES,Section H2,60,Text,High,"Format: Top Guides in {State Name}",Top Guides in Uttarakhand
GUIDES,Section Subtitle,120,Text,Low,Trust-building text,"Verified local experts ready to show you the best of Uttarakhand."
BLOG,Section H2,60,Text,Medium,"Format: {State Name} Travel Blog",Uttarakhand Travel Blog
BLOG,Section Subtitle,120,Text,Low,Content types mentioned,"Itineraries, best time to visit, packing tips, and insider guides for Uttarakhand."
