Section,Field Name,Character Limit,Content Type,SEO Importance,Instructions,Example
=== ABOUT PAGE ===,,,,,,
META,Page Title,60,Text,Critical,"Format: About Book The Guide — India's Trusted Travel Platform",About Book The Guide — India's Trusted Travel Platform
META,Meta Description,155,Text,Critical,"Brand story + value prop + trust signals","Learn about Book The Guide — India's platform connecting travellers with verified local guides. Treks, heritage walks, group trips & more."
META,Keywords,200,Comma-separated,High,"Include: about book the guide, book the guide india, local guides india","about book the guide, book the guide india, local guides india, verified travel guides"
META,Canonical URL,-,URL,Critical,About page URL,https://www.booktheguide.com/about
HERO,H1 Heading,50,Text,Critical,Page heading,About Book The Guide
HERO,Tagline,120,Text,Medium,Brand tagline or mission statement,"Connecting travellers with verified local guides across India."
HERO,Hero Image,-,Image URL,Medium,Team photo or brand hero image,Team/brand hero image
OUR_STORY,Section H2,40,Text,High,Story heading,Our Story
OUR_STORY,Paragraph 1,250,Text,High,"Origin story — why BTG was founded. Personal + authentic.","Book The Guide was born from a simple idea: the best way to experience India is through the eyes of a local..."
OUR_STORY,Paragraph 2,250,Text,Medium,Growth & mission,"Today we connect thousands of travellers with verified guides across 25+ states..."
OUR_STORY,Paragraph 3,200,Text,Medium,Vision for the future,"Our vision is to make every journey in India personal, safe, and unforgettable."
OUR_MISSION,Section H2,40,Text,High,Mission heading,Our Mission
OUR_MISSION,Mission Statement,200,Text,High,"Clear mission statement in 1-2 sentences","To make authentic local travel experiences accessible to everyone — while empowering guides with a sustainable livelihood."
VALUES,Section H2,40,Text,Medium,Values heading,What We Believe In
VALUES,Value 1 Title,30,Text,Medium,Core value name,Trust & Verification
VALUES,Value 1 Description,120,Text,Medium,Value explanation,"Every guide is ID-verified, background-checked, and reviewed by real travellers."
VALUES,Value 2 Title,30,Text,Medium,Core value name,Local Expertise
VALUES,Value 2 Description,120,Text,Medium,Value explanation,"Our guides are born and raised locals who know their region inside out."
VALUES,Value 3 Title,30,Text,Medium,Core value name,Fair Pricing
VALUES,Value 3 Description,120,Text,Medium,Value explanation,"Transparent pricing with no hidden fees. Guides earn a fair commission."
VALUES,Value 4 Title,30,Text,Medium,Core value name,Safety First
VALUES,Value 4 Description,120,Text,Medium,Value explanation,"Certified guides, emergency protocols, and 24/7 support for every trip."
STATS,Stat 1,20,Number + label,Medium,Company metric,25+ States Covered
STATS,Stat 2,20,Number + label,Medium,Company metric,"500+ Verified Guides"
STATS,Stat 3,20,Number + label,Medium,Company metric,"10,000+ Happy Travellers"
STATS,Stat 4,20,Number + label,Medium,Company metric,4.8★ Average Rating
TEAM,Section H2,40,Text,Low,Team heading,Meet the Team
TEAM,Member: Name,40,Text,Low,Team member name,Founder Name
TEAM,Member: Title,40,Text,Low,Designation,Co-Founder & CEO
TEAM,Member: Bio,150,Text,Low,Short bio,"Passionate traveller and entrepreneur building India's largest guide marketplace."
TEAM,Member: Photo,-,Image URL,Low,Square 1:1 professional headshot,Team member photo
