Page Name,URL,Hierarchy Level,Parent Page,Page Type,SEO Priority,Description,Status
Homepage,/,1,,Static,High,Main landing page with hero search - trending trips - experience categories - weekend picks,Existing
Explore All States,/explore,2,Homepage,Static,High,Gateway to all state hub pages - browse India state by state,New
Explore Himachal Pradesh,/explore/himachal-pradesh,3,Explore All States,State Hub,High,State hub for Himachal Pradesh — guides - treks - heritage walks - group trips,New
Explore Uttarakhand,/explore/uttarakhand,3,Explore All States,State Hub,High,State hub for Uttarakhand — guides - treks - temples - safaris,New
Explore Rajasthan,/explore/rajasthan,3,Explore All States,State Hub,High,State hub for Rajasthan — heritage walks - city tours - desert safaris,New
Explore Ladakh,/explore/ladakh,3,Explore All States,State Hub,High,State hub for Ladakh — high-altitude treks - monasteries - lakes,New
Explore Jammu & Kashmir,/explore/kashmir,3,Explore All States,State Hub,High,State hub for Kashmir — Great Lakes trek - skiing - houseboat experiences,New
Explore Delhi,/explore/delhi,3,Explore All States,State Hub,High,State hub for Delhi — food walks - Mughal heritage - city tours,New
Explore Uttar Pradesh,/explore/uttar-pradesh,3,Explore All States,State Hub,High,State hub for UP — Taj Mahal - Varanasi - Lucknow heritage,New
Explore Goa,/explore/goa,3,Explore All States,State Hub,High,State hub for Goa — heritage walks - beach tours - spice plantations,New
Explore Kerala,/explore/kerala,3,Explore All States,State Hub,High,State hub for Kerala — backwaters - tea plantations - wildlife,New
Explore Karnataka,/explore/karnataka,3,Explore All States,State Hub,High,State hub for Karnataka — Hampi - Coorg - Bangalore food,New
Explore Tamil Nadu,/explore/tamil-nadu,3,Explore All States,State Hub,Medium,State hub for Tamil Nadu — temples - Pondicherry - Ooty,New
Explore Maharashtra,/explore/maharashtra,3,Explore All States,State Hub,Medium,State hub for Maharashtra — forts - Ajanta Ellora - Mumbai walks,New
Explore West Bengal,/explore/west-bengal,3,Explore All States,State Hub,Medium,State hub for West Bengal — Darjeeling - Kolkata - Sundarbans,New
Explore Punjab,/explore/punjab,3,Explore All States,State Hub,Medium,State hub for Punjab — Golden Temple - Wagah Border - food walks,New
Explore Meghalaya,/explore/meghalaya,3,Explore All States,State Hub,Medium,State hub for Meghalaya — living root bridges - Dawki - waterfalls,New
Explore Sikkim,/explore/sikkim,3,Explore All States,State Hub,Medium,State hub for Sikkim — Goechala trek - monasteries - mountain views,New
Explore Assam,/explore/assam,3,Explore All States,State Hub,Medium,State hub for Assam — Kaziranga - tea gardens - Majuli island,New
Explore Madhya Pradesh,/explore/madhya-pradesh,3,Explore All States,State Hub,Medium,State hub for Madhya Pradesh — tiger safaris - Khajuraho - Orchha,New
Explore Gujarat,/explore/gujarat,3,Explore All States,State Hub,Medium,State hub for Gujarat — Rann of Kutch - Gir lions - Ahmedabad heritage,New
Explore Odisha,/explore/odisha,3,Explore All States,State Hub,Low,State hub for Odisha — Konark - Puri - Chilika - tribal tours,New
Explore Andhra Pradesh,/explore/andhra-pradesh,3,Explore All States,State Hub,Low,State hub for Andhra Pradesh — Tirupati - Araku Valley - Gandikota,New
Explore Telangana,/explore/telangana,3,Explore All States,State Hub,Low,State hub for Telangana — Hyderabad food walks - Golconda - Warangal,New
Explore Arunachal Pradesh,/explore/arunachal-pradesh,3,Explore All States,State Hub,Low,State hub for Arunachal Pradesh — Tawang - Ziro Valley - tribal culture,New
Explore Nagaland,/explore/nagaland,3,Explore All States,State Hub,Low,State hub for Nagaland — Hornbill Festival - Dzukou Valley - villages,New
Explore Chhattisgarh,/explore/chhattisgarh,3,Explore All States,State Hub,Low,State hub for Chhattisgarh — waterfalls - tribal tours - caves,New
Explore Jharkhand,/explore/jharkhand,3,Explore All States,State Hub,Low,State hub for Jharkhand — forests - waterfalls - temples,New
Explore Bihar,/explore/bihar,3,Explore All States,State Hub,Low,State hub for Bihar — Bodh Gaya - Nalanda - Rajgir,New
Explore Haryana,/explore/haryana,3,Explore All States,State Hub,Low,State hub for Haryana — Kurukshetra - bird sanctuary - Morni Hills,New
Explore Manipur,/explore/manipur,3,Explore All States,State Hub,Low,State hub for Manipur — Loktak Lake - Ima Keithel - hills,New
Explore Mizoram,/explore/mizoram,3,Explore All States,State Hub,Low,State hub for Mizoram — hills - bamboo forests - waterfalls,New
